First name,Last name,National Insurance number,In which tax year was the money purchase pension savings statement issued? (XXXX to XXXX),What is the total of the member’s pension input amounts for money purchase arrangements under the scheme for the tax year that the purchase pension savings statement was issued? (£)
Verna,Ortiz,AB308392C,2022 to 2023,268.84
Citlalli,Wiza,AB298696C,2022 to 2023,40.27
Chaz,Hansen,AB927902C,2022 to 2023,56.87
Pierce,Farrell,AB240085C,2022 to 2023,825.13
Avery,Rodriguez,AB852833C,2022 to 2023,281.77
Lilyan,Langworth,AB666036C,2022 to 2023,382.82
Kelly,Cole,AB729161C,2022 to 2023,151.55
Hillary,Herzog,AB286647C,2022 to 2023,416.15
Leonardo,Kohler,AB582879C,2022 to 2023,835.32
Kiarra,Armstrong,AB486578C,2022 to 2023,2.90
Connor,Leffler,AB471493C,2022 to 2023,306.19
Evan,Borer,AB654806C,2022 to 2023,18.61
Carmela,Smitham,AB604148C,2022 to 2023,108.51
Alberta,Koch,AB178509C,2022 to 2023,714.10
Mortimer,Conn,AB536719C,2022 to 2023,665.01
Maudie,Watsica,AB550110C,2022 to 2023,238.34
Norwood,Cruickshank,AB709956C,2022 to 2023,229.63
Patricia,Renner,AB796942C,2022 to 2023,997.18
Lucinda,Doyle,AB206972C,2022 to 2023,251.73
Orpha,Dibbert,AB880510C,2022 to 2023,944.03
Roberta,Nolan,AB760323C,2022 to 2023,234.86
Malcolm,Gorczany,AB155712C,2022 to 2023,307.37
Noemy,Mertz,AB513934C,2022 to 2023,566.39
Dorthy,Lueilwitz,AB506309C,2022 to 2023,9.88
Jalyn,Mueller,AB284177C,2022 to 2023,929.33
Domenico,Jerde,AB602093C,2022 to 2023,916.63
Myles,Spencer,AB751835C,2022 to 2023,457.66
Francisca,Kohler,AB883390C,2022 to 2023,463.32
Kyle,Lubowitz,AB940564C,2022 to 2023,270.20
Malachi,Larkin,AB502043C,2022 to 2023,280.27
Johnathan,Maggio,AB407876C,2022 to 2023,611.66
Barney,Walsh,AB343896C,2022 to 2023,695.01
Dallin,Wisozk,AB940911C,2022 to 2023,754.30
Xzavier,Greenfelder,AB809835C,2022 to 2023,275.19
Isadore,Morar,AB764029C,2022 to 2023,396.32
Viva,Schuppe,AB633215C,2022 to 2023,342.70
Deshawn,Lynch,AB410649C,2022 to 2023,661.65
Ollie,Murazik,AB997243C,2022 to 2023,94.01
Jevon,Parisian,AB603671C,2022 to 2023,694.94
Tara,Nader,AB972532C,2022 to 2023,151.82
Malachi,Reinger,AB873823C,2022 to 2023,122.71
Darlene,Christiansen,AB946204C,2022 to 2023,653.14
Dale,Moen,AB427409C,2022 to 2023,555.61
Greyson,Von,AB163243C,2022 to 2023,719.97
Maxine,Pfeffer,AB417743C,2022 to 2023,279.57
Cleora,Farrell,AB313458C,2022 to 2023,357.83
Joshuah,Simonis,AB656535C,2022 to 2023,506.08
Maureen,Dietrich,AB796237C,2022 to 2023,743.27
Darrick,Bahringer,AB359271C,2022 to 2023,704.22
Ruth,Streich,AB592784C,2022 to 2023,761.75
Garrett,Kozey,AB781981C,2022 to 2023,368.33
Greg,Lockman,AB957801C,2022 to 2023,566.99
Dave,McClure,AB177115C,2022 to 2023,553.41
Brionna,Jaskolski,AB678202C,2022 to 2023,438.03
Kaleigh,Ryan,AB857884C,2022 to 2023,735.49
Gardner,Marvin,AB611054C,2022 to 2023,984.64
Dante,Kassulke,AB311341C,2022 to 2023,694.99
Josh,Skiles,AB129426C,2022 to 2023,846.54
Maxime,Nicolas,AB530215C,2022 to 2023,710.09
Jake,Larkin,AB362718C,2022 to 2023,432.70
Chasity,Stiedemann,AB570612C,2022 to 2023,144.69
Lulu,Lubowitz,AB517456C,2022 to 2023,226.22
Laverne,Toy,AB878967C,2022 to 2023,107.12
Whitney,Langworth,AB362598C,2022 to 2023,854.93
Norene,Reichert,AB650934C,2022 to 2023,397.31
Shayne,Rolfson,AB845941C,2022 to 2023,507.26
Zackary,Considine,AB547314C,2022 to 2023,10.91
Delmer,Runolfsdottir,AB296989C,2022 to 2023,551.75
Shawn,Fadel,AB247173C,2022 to 2023,222.58
Wilmer,Kuhlman,AB310250C,2022 to 2023,342.56
Charley,Boehm,AB698820C,2022 to 2023,755.28
Geovany,Wintheiser,AB345717C,2022 to 2023,666.33
Dejah,Hagenes,AB802963C,2022 to 2023,944.98
Leonie,Robel,AB372483C,2022 to 2023,951.46
Sheila,Maggio,AB606893C,2022 to 2023,334.30
Jazmin,Hane,AB232777C,2022 to 2023,3.90
Timmothy,Hamill,AB251865C,2022 to 2023,27.81
Issac,Stamm,AB753857C,2022 to 2023,719.01
Vergie,Bogan,AB235597C,2022 to 2023,844.34
Agnes,Mayert,AB420089C,2022 to 2023,480.58
Ashton,Altenwerth,AB519462C,2022 to 2023,557.45
Brenden,Howe,AB898884C,2022 to 2023,632.84
Sandra,Sipes,AB415837C,2022 to 2023,948.85
Francesco,Hammes,AB198120C,2022 to 2023,316.92
Adell,Lowe,AB697099C,2022 to 2023,497.15
Joanny,Anderson,AB556035C,2022 to 2023,302.28
Devonte,Bins,AB104790C,2022 to 2023,759.39
Tre,Rippin,AB154986C,2022 to 2023,121.00
Angelina,Padberg,AB139612C,2022 to 2023,547.89
Joey,Emard,AB619297C,2022 to 2023,208.19
Marjorie,Barton,AB409540C,2022 to 2023,77.76
Alvera,Kassulke,AB517075C,2022 to 2023,924.89
Jamarcus,Hagenes,AB485555C,2022 to 2023,379.85
Janae,Wuckert,AB915873C,2022 to 2023,468.42
Rosalyn,Satterfield,AB202710C,2022 to 2023,881.44
Gennaro,Mertz,AB953343C,2022 to 2023,867.56
Elias,Volkman,AB556737C,2022 to 2023,652.96
Antoinette,Pfannerstill,AB315736C,2022 to 2023,437.63
Delia,Bogan,AB911223C,2022 to 2023,76.60
Kian,Beer,AB561446C,2022 to 2023,134.83
Electa,Schmeler,AB110331C,2022 to 2023,955.73
Giovani,Marks,AB374331C,2022 to 2023,972.76
Junior,Dibbert,AB342123C,2022 to 2023,330.38
Zachery,Rau,AB433436C,2022 to 2023,128.49
Julian,Crona,AB974114C,2022 to 2023,143.02
Donato,Witting,AB424339C,2022 to 2023,824.21
Jeff,Bechtelar,AB404866C,2022 to 2023,736.06
Aric,Kutch,AB280150C,2022 to 2023,574.56
Eileen,Farrell,AB544277C,2022 to 2023,839.25
Zoie,Corkery,AB676606C,2022 to 2023,731.51
Augustus,Gutkowski,AB393902C,2022 to 2023,475.81
Juliet,Abshire,AB979705C,2022 to 2023,941.96
Rodolfo,Prosacco,AB953789C,2022 to 2023,149.49
Frederik,Green,AB997702C,2022 to 2023,756.35
Wilhelmine,Schamberger,AB990634C,2022 to 2023,283.44
Oswald,Volkman,AB500357C,2022 to 2023,97.61
Stephon,Williamson,AB545167C,2022 to 2023,136.48
Neil,D'Amore,AB772990C,2022 to 2023,895.76
Micah,Lebsack,AB889637C,2022 to 2023,268.81
Abby,Farrell,AB541521C,2022 to 2023,790.65
Nelson,Hessel,AB511857C,2022 to 2023,246.26
Vergie,Hamill,AB722643C,2022 to 2023,413.19
Louisa,Lindgren,AB491082C,2022 to 2023,489.95
Sydni,Kassulke,AB368544C,2022 to 2023,889.61
Christy,Berge,AB274585C,2022 to 2023,455.18
Jo,Koss,AB961082C,2022 to 2023,736.29
Lonny,Franecki,AB950321C,2022 to 2023,914.64
Silas,Streich,AB259078C,2022 to 2023,357.01
Pamela,Beier,AB258943C,2022 to 2023,798.81
Ryleigh,Schuppe,AB269723C,2022 to 2023,967.08
Thea,Marquardt,AB156893C,2022 to 2023,610.49
Elta,Haag,AB697185C,2022 to 2023,538.89
Prince,Nitzsche,AB336376C,2022 to 2023,123.04
Brooke,Reichel,AB276019C,2022 to 2023,102.57
Jevon,Dare,AB962366C,2022 to 2023,936.47
Zola,Weissnat,AB117934C,2022 to 2023,345.45
German,Herzog,AB374958C,2022 to 2023,21.15
Anjali,Grady,AB363857C,2022 to 2023,449.90
Cyrus,Lind,AB254128C,2022 to 2023,281.13
Darrion,Anderson,AB811650C,2022 to 2023,651.93
Agnes,White,AB158014C,2022 to 2023,39.51
Guiseppe,Ryan,AB887572C,2022 to 2023,999.89
Shawna,Gibson,AB442130C,2022 to 2023,416.61
Ulices,West,AB780529C,2022 to 2023,559.79
Clara,Jaskolski,AB716403C,2022 to 2023,170.14
Jabari,Terry,AB240922C,2022 to 2023,565.90
Amara,Dickinson,AB519121C,2022 to 2023,344.99
Arlene,Bailey,AB752479C,2022 to 2023,662.05
Karianne,Erdman,AB812433C,2022 to 2023,501.58
Jewell,Tillman,AB120349C,2022 to 2023,605.17
Maritza,Anderson,AB448177C,2022 to 2023,980.84
Keshaun,Kozey,AB748822C,2022 to 2023,892.04
Florida,Schimmel,AB323610C,2022 to 2023,37.94
Rodrick,Welch,AB562170C,2022 to 2023,994.75
Jakayla,Brekke,AB826780C,2022 to 2023,561.46
Jon,Pfannerstill,AB827889C,2022 to 2023,915.15
Garrick,Kunde,AB509256C,2022 to 2023,229.39
Keegan,Turner,AB625531C,2022 to 2023,819.64
Leonard,Champlin,AB202949C,2022 to 2023,315.40
Jessica,Hegmann,AB747569C,2022 to 2023,177.94
Armando,Schulist,AB990932C,2022 to 2023,263.00
Michaela,Gutmann,AB519414C,2022 to 2023,780.27
Bernardo,Ritchie,AB738925C,2022 to 2023,716.56
Jaylin,Roob,AB104546C,2022 to 2023,853.23
Mercedes,Glover,AB149627C,2022 to 2023,949.38
Carlo,Doyle,AB487192C,2022 to 2023,952.02
Delpha,Zieme,AB635647C,2022 to 2023,560.04
Stone,Rau,AB184603C,2022 to 2023,411.45
Myriam,Bruen,AB148929C,2022 to 2023,445.13
Arely,Johns,AB450512C,2022 to 2023,323.50
Josephine,King,AB180536C,2022 to 2023,762.82
Darrell,Sanford,AB616993C,2022 to 2023,570.71
Rhett,Kihn,AB227541C,2022 to 2023,395.42
Oswald,Lindgren,AB680708C,2022 to 2023,294.24
Louie,Blick,AB628813C,2022 to 2023,992.22
Humberto,Murray,AB287621C,2022 to 2023,333.26
Bobbie,Kulas,AB694473C,2022 to 2023,962.64
Gisselle,Douglas,AB693663C,2022 to 2023,639.39
Helga,Boehm,AB832394C,2022 to 2023,196.02
Brandt,Bogan,AB576585C,2022 to 2023,609.25
Frances,Crist,AB872786C,2022 to 2023,689.32
Dejuan,Kris,AB458837C,2022 to 2023,733.06
Bernita,Bernier,AB835650C,2022 to 2023,54.51
Marcia,Armstrong,AB519774C,2022 to 2023,896.09
Virginie,Ernser,AB209143C,2022 to 2023,84.37
Emily,Koepp,AB511823C,2022 to 2023,310.96
Eliezer,Harvey,AB410512C,2022 to 2023,498.77
Asha,Crist,AB606687C,2022 to 2023,915.16
Jake,Waters,AB928740C,2022 to 2023,701.85
Kiel,Schulist,AB408549C,2022 to 2023,413.37
Ardella,Kassulke,AB323126C,2022 to 2023,112.86
Clemmie,Schinner,AB551461C,2022 to 2023,528.52
Sienna,Von,AB830096C,2022 to 2023,327.21
Lois,Senger,AB953929C,2022 to 2023,801.41
Devonte,Ortiz,AB823571C,2022 to 2023,421.25
Earnestine,Eichmann,AB509444C,2022 to 2023,42.70
Brycen,Hoeger,AB649955C,2022 to 2023,661.09
Danyka,Paucek,AB407109C,2022 to 2023,776.22
Dino,Mayert,AB790952C,2022 to 2023,812.63
Jordy,Robel,AB353385C,2022 to 2023,853.76
Nettie,Jones,AB961640C,2022 to 2023,351.85
Afton,Harvey,AB803378C,2022 to 2023,696.30
Nathaniel,Sawayn,AB759642C,2022 to 2023,740.57
Aurelia,Prohaska,AB963139C,2022 to 2023,701.10
Adele,Koch,AB792389C,2022 to 2023,128.18
Selina,Weber,AB735469C,2022 to 2023,977.05
Euna,Rowe,AB328292C,2022 to 2023,870.38
Cary,Douglas,AB600074C,2022 to 2023,191.56
Elinor,Auer,AB249754C,2022 to 2023,559.24
Laurie,Waters,AB447164C,2022 to 2023,310.80
General,Sanford,AB662734C,2022 to 2023,243.31
Clementine,Bauch,AB870853C,2022 to 2023,475.80
Schuyler,Gutkowski,AB759372C,2022 to 2023,855.80
Emily,Kuvalis,AB995153C,2022 to 2023,733.94
Britney,Abernathy,AB321293C,2022 to 2023,554.21
Ford,Greenholt,AB914462C,2022 to 2023,942.13
Rosario,McCullough,AB333864C,2022 to 2023,439.45
Keegan,Cole,AB574739C,2022 to 2023,470.32
Burdette,Wunsch,AB388950C,2022 to 2023,166.67
Keira,Cremin,AB940575C,2022 to 2023,978.40
Raphael,Muller,AB329205C,2022 to 2023,766.33
Kody,Botsford,AB735521C,2022 to 2023,780.80
Mozell,Lemke,AB332743C,2022 to 2023,699.70
Giovanny,Prosacco,AB804846C,2022 to 2023,136.99
Casper,Walker,AB296548C,2022 to 2023,397.35
Ruth,Kuhic,AB620229C,2022 to 2023,21.03
Kenyatta,Feil,AB435253C,2022 to 2023,796.79
Katharina,Ritchie,AB506729C,2022 to 2023,686.26
Queen,Gleichner,AB874903C,2022 to 2023,324.28
Xavier,Schaden,AB801988C,2022 to 2023,446.07
Rebeca,Shanahan,AB415035C,2022 to 2023,231.11
Rowena,Osinski,AB370731C,2022 to 2023,637.22
Ike,Krajcik,AB466708C,2022 to 2023,987.64
Sebastian,Schmitt,AB673601C,2022 to 2023,348.83
Pierre,Parker,AB700815C,2022 to 2023,691.62
Abigale,Jones,AB721491C,2022 to 2023,788.50
Rose,Turner,AB679368C,2022 to 2023,479.89
Johann,Hickle,AB660396C,2022 to 2023,286.65
Emmanuel,Goldner,AB465997C,2022 to 2023,465.98
Camden,Konopelski,AB552217C,2022 to 2023,132.02
Shaniya,Kub,AB288201C,2022 to 2023,915.37
Krystina,Lowe,AB757792C,2022 to 2023,686.75
Ignatius,Stanton,AB374751C,2022 to 2023,944.54
Freeman,Bahringer,AB309376C,2022 to 2023,427.81
Flavie,Littel,AB271032C,2022 to 2023,341.23
George,Abshire,AB509428C,2022 to 2023,205.64
Jewel,Koss,AB115393C,2022 to 2023,509.53
Aron,Gutmann,AB781447C,2022 to 2023,175.39
Jayme,Kohler,AB396636C,2022 to 2023,573.99
Emanuel,Purdy,AB684268C,2022 to 2023,32.59
Genevieve,Gerhold,AB939226C,2022 to 2023,561.38
Hilma,Yost,AB854443C,2022 to 2023,882.61
Art,Flatley,AB163835C,2022 to 2023,520.03
Madie,Thiel,AB623562C,2022 to 2023,852.56
Elvie,Collier,AB874117C,2022 to 2023,279.20
Eden,Kub,AB915547C,2022 to 2023,40.95
Elyse,Metz,AB411019C,2022 to 2023,623.90
Angelina,Deckow,AB222085C,2022 to 2023,808.61
Maritza,Batz,AB130592C,2022 to 2023,849.73
Aliya,Bartoletti,AB597161C,2022 to 2023,660.29
Alycia,Beier,AB729063C,2022 to 2023,693.87
Rebekah,Wolff,AB842769C,2022 to 2023,28.91
Ray,Gorczany,AB390531C,2022 to 2023,206.77
Jaeden,Stehr,AB151389C,2022 to 2023,596.62
Lenny,Krajcik,AB595491C,2022 to 2023,251.28
Laisha,Predovic,AB391977C,2022 to 2023,442.17
Alexzander,Shields,AB736652C,2022 to 2023,886.65
Antonina,Mertz,AB736850C,2022 to 2023,332.88
Tressa,Thompson,AB147364C,2022 to 2023,804.54
Horacio,Luettgen,AB154670C,2022 to 2023,556.10
Emil,Effertz,AB345926C,2022 to 2023,870.13
Alexanne,Davis,AB816206C,2022 to 2023,685.54
Cora,Prohaska,AB525309C,2022 to 2023,969.13
Alice,Pagac,AB855121C,2022 to 2023,249.95
Alphonso,Jerde,AB378472C,2022 to 2023,277.55
Noel,Schmidt,AB936168C,2022 to 2023,71.33
Frank,Leuschke,AB298258C,2022 to 2023,533.66
Cornelius,Green,AB945798C,2022 to 2023,289.05
Ephraim,Wilderman,AB973005C,2022 to 2023,919.04
Gilbert,Grant,AB479520C,2022 to 2023,146.56
Viva,Huel,AB218480C,2022 to 2023,742.00
Kareem,Daugherty,AB928810C,2022 to 2023,336.61
Marcel,Olson,AB511725C,2022 to 2023,232.13
Jaime,Johns,AB411184C,2022 to 2023,400.89
Jillian,Beer,AB967117C,2022 to 2023,949.66
Candido,Koelpin,AB999967C,2022 to 2023,58.51
Keenan,Nienow,AB414571C,2022 to 2023,785.66
Jordan,Goldner,AB527117C,2022 to 2023,282.64
Saige,Mueller,AB230902C,2022 to 2023,952.48
Elwyn,McDermott,AB821374C,2022 to 2023,311.49
Raymundo,Klocko,AB927056C,2022 to 2023,957.50
Bridget,Brakus,AB620741C,2022 to 2023,52.87
Rubye,Kozey,AB988329C,2022 to 2023,157.04
Kasey,Schumm,AB150760C,2022 to 2023,66.39
Zaria,Rowe,AB473423C,2022 to 2023,650.34
Kasey,Muller,AB499123C,2022 to 2023,521.43
Mateo,Schaden,AB635254C,2022 to 2023,942.64
Jamaal,Powlowski,AB406226C,2022 to 2023,915.11
Lamont,Vandervort,AB449934C,2022 to 2023,192.84
Winston,Wintheiser,AB655385C,2022 to 2023,794.41
Tatyana,Davis,AB591238C,2022 to 2023,631.21
Josie,Bahringer,AB559095C,2022 to 2023,19.03
Humberto,Lemke,AB320932C,2022 to 2023,506.63
Mohammad,Kerluke,AB767319C,2022 to 2023,632.95
Eula,Buckridge,AB820579C,2022 to 2023,237.57
Nelda,Wehner,AB197136C,2022 to 2023,73.36
Keara,Fisher,AB360422C,2022 to 2023,707.49
Makenna,Torphy,AB481088C,2022 to 2023,782.99
Madelynn,Botsford,AB389751C,2022 to 2023,494.99
Rocky,Koch,AB251577C,2022 to 2023,557.18
Devyn,Swift,AB636799C,2022 to 2023,900.07
Kacey,Paucek,AB423482C,2022 to 2023,83.51
Destin,Veum,AB365384C,2022 to 2023,309.09
Delta,Luettgen,AB482789C,2022 to 2023,57.07
Mekhi,Renner,AB766091C,2022 to 2023,132.27
Omari,Stanton,AB927976C,2022 to 2023,50.48
Jazmyn,Zieme,AB284780C,2022 to 2023,154.70
Frances,Bogisich,AB654560C,2022 to 2023,420.72
Blake,Kerluke,AB404599C,2022 to 2023,789.90
Derick,Larson,AB337517C,2022 to 2023,161.75
Stephon,Armstrong,AB757503C,2022 to 2023,858.17
Jake,Prosacco,AB295178C,2022 to 2023,371.62
Delphine,Homenick,AB260446C,2022 to 2023,288.92
Glenda,Towne,AB778425C,2022 to 2023,187.39
Micaela,Ritchie,AB482675C,2022 to 2023,545.52
Keon,Barrows,AB143473C,2022 to 2023,438.17
Anabel,Bernhard,AB181129C,2022 to 2023,781.78
Katelin,Bernhard,AB780511C,2022 to 2023,894.41
Janiya,Borer,AB158462C,2022 to 2023,978.29
Andreane,Farrell,AB305070C,2022 to 2023,339.96
Lorena,Schroeder,AB803384C,2022 to 2023,919.58
Alycia,Treutel,AB488643C,2022 to 2023,446.84
Wilfred,Legros,AB694109C,2022 to 2023,227.45
Rowena,Cartwright,AB399393C,2022 to 2023,299.22
Idell,Maggio,AB414564C,2022 to 2023,840.43
Helena,Hagenes,AB154239C,2022 to 2023,432.96
Zachary,Denesik,AB841336C,2022 to 2023,852.92
Jace,Price,AB426024C,2022 to 2023,256.15
Myriam,Pouros,AB515262C,2022 to 2023,228.02
Adalberto,Turcotte,AB252808C,2022 to 2023,270.67
Jefferey,Jenkins,AB265333C,2022 to 2023,736.15
Burnice,Crist,AB736788C,2022 to 2023,292.14
Judy,Blanda,AB619085C,2022 to 2023,699.10
Javier,Grant,AB372361C,2022 to 2023,160.81
Felicita,Johnson,AB183705C,2022 to 2023,724.54
Erich,Konopelski,AB703450C,2022 to 2023,930.84
Sarina,Zboncak,AB841464C,2022 to 2023,662.81
Elvera,Hayes,AB667625C,2022 to 2023,34.94
Candace,Daugherty,AB861587C,2022 to 2023,733.17
Johnny,Roberts,AB332636C,2022 to 2023,914.27
Eliseo,Zulauf,AB328952C,2022 to 2023,63.78
Charlene,Kozey,AB609418C,2022 to 2023,305.80
Jarrett,Crooks,AB801415C,2022 to 2023,639.04
Susie,Pollich,AB541010C,2022 to 2023,727.96
Camilla,Purdy,AB946711C,2022 to 2023,590.29
Winona,Baumbach,AB651837C,2022 to 2023,486.11
Emerald,Stracke,AB349057C,2022 to 2023,59.15
Forest,Kertzmann,AB756395C,2022 to 2023,626.57
Lawrence,Bashirian,AB328249C,2022 to 2023,34.54
Kamren,Yundt,AB909087C,2022 to 2023,711.39
Magnolia,Zieme,AB612255C,2022 to 2023,210.22
Forrest,Wisoky,AB408076C,2022 to 2023,465.63
Selmer,Senger,AB419490C,2022 to 2023,76.67
Katrine,Sauer,AB405810C,2022 to 2023,999.62
Gina,Legros,AB902666C,2022 to 2023,177.39
Cecile,Haag,AB906955C,2022 to 2023,749.11
Tracy,Moen,AB538436C,2022 to 2023,512.90
Vergie,Konopelski,AB658453C,2022 to 2023,348.48
Saige,Gulgowski,AB544976C,2022 to 2023,140.78
Jaycee,Legros,AB154873C,2022 to 2023,555.60
Adolphus,Goyette,AB395078C,2022 to 2023,74.04
Destany,Bradtke,AB490288C,2022 to 2023,715.28
Ofelia,King,AB705162C,2022 to 2023,107.57
Orville,Roob,AB810176C,2022 to 2023,895.39
Eloisa,Grant,AB848012C,2022 to 2023,767.35
Dayne,Boyle,AB918711C,2022 to 2023,587.14
Pearlie,Shields,AB540370C,2022 to 2023,107.73
Celine,Schoen,AB645636C,2022 to 2023,382.31
Daija,Konopelski,AB297132C,2022 to 2023,879.52
Maryse,Schmeler,AB524607C,2022 to 2023,60.46
Cody,Reichel,AB991717C,2022 to 2023,901.74
Clementine,Cummerata,AB781977C,2022 to 2023,689.60
Malachi,Olson,AB390966C,2022 to 2023,771.86
Narciso,McCullough,AB202837C,2022 to 2023,57.83
Rita,Christiansen,AB834953C,2022 to 2023,586.74
Maximus,Kuhlman,AB429015C,2022 to 2023,2.21
Samson,Reichel,AB822686C,2022 to 2023,102.91
Whitney,Halvorson,AB402857C,2022 to 2023,716.32
Cecelia,Barrows,AB120018C,2022 to 2023,765.79
Paxton,McLaughlin,AB647969C,2022 to 2023,948.16
Weldon,Kling,AB764479C,2022 to 2023,727.65
Jordy,Stoltenberg,AB182303C,2022 to 2023,768.86
Felipe,Hagenes,AB428484C,2022 to 2023,514.33
Tyrell,Little,AB401872C,2022 to 2023,407.46
Kylee,Lang,AB738857C,2022 to 2023,315.53
Leanne,Brakus,AB782542C,2022 to 2023,407.35
Darien,Cassin,AB579818C,2022 to 2023,738.50
Michaela,Stiedemann,AB159156C,2022 to 2023,114.63
Vella,Stamm,AB836236C,2022 to 2023,721.61
Austin,Schaefer,AB313445C,2022 to 2023,839.44
Nova,Schultz,AB289221C,2022 to 2023,582.49
Frederique,Bechtelar,AB157485C,2022 to 2023,556.58
Bruce,Mosciski,AB838938C,2022 to 2023,953.82
Catharine,Bergnaum,AB513712C,2022 to 2023,526.73
Lavinia,Miller,AB443156C,2022 to 2023,311.89
Tracy,Kohler,AB791554C,2022 to 2023,801.84
Kelley,Schamberger,AB482169C,2022 to 2023,967.54
Baylee,Schinner,AB962736C,2022 to 2023,980.38
Kennedi,McDermott,AB739817C,2022 to 2023,841.43
Nellie,Hegmann,AB694247C,2022 to 2023,550.26
Haley,Terry,AB937279C,2022 to 2023,633.58
Gregory,Lockman,AB984692C,2022 to 2023,636.17
Marcella,Bernier,AB106211C,2022 to 2023,516.81
Lawrence,Keebler,AB723048C,2022 to 2023,372.86
Karson,Nikolaus,AB565989C,2022 to 2023,165.08
Theron,Schultz,AB944521C,2022 to 2023,632.75
Aditya,Auer,AB493082C,2022 to 2023,27.78
Antonietta,Luettgen,AB837628C,2022 to 2023,617.34
Jarred,Baumbach,AB931525C,2022 to 2023,773.97
Angelo,Vandervort,AB717648C,2022 to 2023,257.14
Antwan,O'Hara,AB391828C,2022 to 2023,870.40
Hiram,Konopelski,AB111172C,2022 to 2023,822.70
Adah,Kovacek,AB484718C,2022 to 2023,255.52
Asa,Smitham,AB182386C,2022 to 2023,440.86
Seth,Cummerata,AB526291C,2022 to 2023,789.33
Shania,Hoppe,AB408280C,2022 to 2023,963.60
Freddy,Hoeger,AB500608C,2022 to 2023,447.53
Daron,Langosh,AB835764C,2022 to 2023,643.00
Maddison,Hane,AB411583C,2022 to 2023,22.17
Herman,Adams,AB904485C,2022 to 2023,156.03
Sandy,Bode,AB240562C,2022 to 2023,886.82
Margarete,Kiehn,AB951490C,2022 to 2023,879.16
Milan,Jakubowski,AB413321C,2022 to 2023,883.35
Nichole,Hessel,AB183452C,2022 to 2023,86.28
Ebba,Dicki,AB414495C,2022 to 2023,708.29
Rylee,Mertz,AB836707C,2022 to 2023,12.51
Claudie,Moore,AB153961C,2022 to 2023,840.26
Alize,Green,AB847705C,2022 to 2023,913.69
Brenden,Schoen,AB702075C,2022 to 2023,431.99
Davonte,Hessel,AB510413C,2022 to 2023,713.16
Skyla,Powlowski,AB197231C,2022 to 2023,774.05
Janae,Jewess,AB213429C,2022 to 2023,348.30
Isadore,Armstrong,AB804206C,2022 to 2023,356.09
Gloria,Stiedemann,AB388013C,2022 to 2023,161.56
Kirsten,McCullough,AB107854C,2022 to 2023,84.77
Clair,Bednar,AB601957C,2022 to 2023,159.63
Isadore,Batz,AB798755C,2022 to 2023,595.41
Otho,Block,AB572502C,2022 to 2023,387.84
Frieda,Skiles,AB874506C,2022 to 2023,240.53
Polly,Kovacek,AB802461C,2022 to 2023,448.81
Porter,Waters,AB233132C,2022 to 2023,509.98
Arden,Stokes,AB520813C,2022 to 2023,689.93
Jarod,Rodriguez,AB984023C,2022 to 2023,754.60
Kyla,Maggio,AB653785C,2022 to 2023,971.78
Korey,Rice,AB288577C,2022 to 2023,74.24
Jeanette,Fahey,AB867151C,2022 to 2023,126.08
Jerad,Russel,AB708773C,2022 to 2023,945.86
Brittany,Stoltenberg,AB562942C,2022 to 2023,487.56
Green,Murray,AB406991C,2022 to 2023,250.96
Humberto,Hickle,AB173691C,2022 to 2023,240.66
Taylor,Olson,AB696007C,2022 to 2023,293.67
Julian,Hegmann,AB759434C,2022 to 2023,210.27
Cristal,Reilly,AB611216C,2022 to 2023,40.61
April,Morissette,AB153569C,2022 to 2023,487.06
Garret,Anderson,AB894439C,2022 to 2023,546.59
Mozelle,Champlin,AB451679C,2022 to 2023,353.61
Sigmund,Jakubowski,AB881056C,2022 to 2023,660.72
Freeda,Shields,AB420340C,2022 to 2023,102.82
Carlie,Kuvalis,AB494902C,2022 to 2023,743.09
Elisabeth,Ruecker,AB551495C,2022 to 2023,910.83
Raymundo,McGlynn,AB638651C,2022 to 2023,595.52
Christopher,Veum,AB643733C,2022 to 2023,793.72
Eva,Dickinson,AB320242C,2022 to 2023,964.76
Adonis,Walsh,AB858162C,2022 to 2023,659.41
Ralph,Beier,AB160419C,2022 to 2023,967.57
Kendra,Weimann,AB900525C,2022 to 2023,860.90
Tevin,Robel,AB400082C,2022 to 2023,304.13
Marley,Watsica,AB746018C,2022 to 2023,816.77
Dell,Beier,AB727975C,2022 to 2023,703.53
Glen,Mayer,AB197259C,2022 to 2023,988.98
Hazel,Rohan,AB349482C,2022 to 2023,999.83
Vicky,Hayes,AB549625C,2022 to 2023,502.67
Domingo,Kuvalis,AB941993C,2022 to 2023,429.15
Tyree,Corkery,AB567638C,2022 to 2023,782.85
Charles,Ortiz,AB979850C,2022 to 2023,645.44
Rose,Schmeler,AB579761C,2022 to 2023,529.55
Lisette,Schamberger,AB172452C,2022 to 2023,667.92
Agustin,Morissette,AB330285C,2022 to 2023,163.60
Jayson,Nitzsche,AB630898C,2022 to 2023,310.09
Nova,Farrell,AB113949C,2022 to 2023,46.56
Yvette,Senger,AB912891C,2022 to 2023,609.14
Ari,Brekke,AB912020C,2022 to 2023,627.37
Ettie,McLaughlin,AB784861C,2022 to 2023,213.88
Jarret,Wilkinson,AB100255C,2022 to 2023,462.63
Shany,Jerde,AB438735C,2022 to 2023,47.62
Cara,Von,AB371728C,2022 to 2023,246.41
