First name,Last name,National Insurance number,Type of protection held for the crystallisation (see LTA certificate),Protection type reference,Total amount crystallised (£),Date the benefit was crystallised (XX/XX/XXXX)
Murphy,Abernathy,AB267819C,Individual protection 2014,60031485,153.78,2022-11-07
Annamarie,Cassin,AB711619C,Fixed protection,59161696,542.56,2022-11-05
Manuela,Howell,AB789305C,Individual protection 2014,11594082,137.55,2022-11-06
Okey,Witting,AB653281C,Enhanced lifetime allowance,61590160,598.28,2022-11-08
Gina,Lang,AB272944C,Fixed protection 2014,42455059,172.14,2022-11-01
Nelda,Fadel,AB295209C,Enhanced lifetime allowance,21960149,56.39,2022-11-06
Mollie,Ortiz,AB848443C,Individual protection 2016,82583597,104.02,2022-11-08
Elyssa,Hane,AB373251C,Enhanced protection,71950615,50.06,2022-11-01
Adam,Quigley,AB132403C,Fixed protection 2014,24651605,26.80,2022-11-05
Stanford,Okuneva,AB690017C,Enhanced lifetime allowance,26792115,168.91,2022-11-05
Rusty,Stroman,AB473061C,Fixed protection 2016,82348760,725.00,2022-11-07
Rossie,Grimes,AB364883C,Individual protection 2016,64487446,134.49,2022-11-08
Kaelyn,Kuhlman,AB826763C,Fixed protection 2014,77506010,843.06,2022-11-01
Jaylan,Block,AB269333C,Fixed protection 2014,58950859,583.14,2022-11-07
Maye,Torphy,AB941372C,Individual protection 2014,35811337,764.56,2022-11-02
Garland,Williamson,AB792490C,Fixed protection 2014,13677759,302.69,2022-11-01
Fleta,Heller,AB362488C,Enhanced lifetime allowance,52190535,895.89,2022-11-06
Freda,Gislason,AB286619C,Enhanced lifetime allowance,77122046,206.06,2022-11-03
Friedrich,Kreiger,AB945186C,Enhanced protection,35819112,432.54,2022-11-04
Jaquelin,Runolfsdottir,AB500678C,Fixed protection 2014,38196569,932.96,2022-11-05
Saul,Sanford,AB559493C,Enhanced lifetime allowance,13735691,900.72,2022-11-07
Martina,Huels,AB338688C,Individual protection 2016,85740324,329.66,2022-11-06
Merlin,Bahringer,AB526653C,Enhanced lifetime allowance,96904891,765.49,2022-11-06
Sid,Blanda,AB991997C,Individual protection 2014,19651753,770.57,2022-11-02
Loyce,Metz,AB466781C,Enhanced protection,77873977,573.69,2022-11-02
Emily,Jaskolski,AB218433C,Individual protection 2014,50075450,968.86,2022-11-08
Giovanna,Rau,AB207218C,Enhanced protection,37003705,706.85,2022-11-07
Stefan,Kuphal,AB593131C,Fixed protection,34434065,662.66,2022-11-05
Adeline,Berge,AB120493C,Fixed protection 2016,81910727,47.02,2022-11-07
Krystina,Renner,AB662315C,Fixed protection 2016,71858820,382.11,2022-11-05
Josefa,Friesen,AB779642C,Fixed protection 2014,89659716,347.96,2022-11-04
Nova,Hand,AB961905C,Enhanced lifetime allowance,71490442,205.83,2022-11-06
Katelin,Padberg,AB464661C,Individual protection 2014,73603579,791.33,2022-11-01
Ronaldo,Torp,AB229971C,Individual protection 2014,74982779,302.75,2022-11-03
Lambert,Kessler,AB869678C,Individual protection 2014,40431538,392.31,2022-11-08
Mayra,Cormier,AB595049C,Fixed protection 2014,72093387,492.85,2022-11-03
Roxanne,Roberts,AB398904C,Fixed protection 2016,24741443,891.68,2022-11-08
Johathan,Cole,AB932933C,Fixed protection 2014,53749159,188.06,2022-11-05
Ayden,Quigley,AB208763C,Fixed protection 2016,57687891,45.41,2022-11-08
Otho,Mraz,AB978630C,Individual protection 2014,50982413,397.78,2022-11-08
Narciso,Skiles,AB133027C,Individual protection 2014,64426515,561.23,2022-11-04
Maiya,Lubowitz,AB472330C,Individual protection 2016,31784320,497.08,2022-11-06
Cheyenne,Conn,AB887403C,Fixed protection 2016,72362530,854.42,2022-11-08
Jorge,Franecki,AB106303C,Fixed protection,70192006,195.15,2022-11-03
Elda,Kling,AB559886C,Enhanced protection,29582170,639.88,2022-11-05
Maybell,Fay,AB480480C,Fixed protection 2014,64184908,76.55,2022-11-02
Weldon,Hammes,AB696013C,Fixed protection 2016,49296202,144.73,2022-11-08
Fausto,Raynor,AB343457C,Enhanced protection,80107320,701.38,2022-11-01
Judy,Fahey,AB789127C,Enhanced lifetime allowance,42354212,3.03,2022-11-04
Alison,Kulas,AB852729C,Individual protection 2014,73321230,15.43,2022-11-01
Rosalyn,Brakus,AB785738C,Individual protection 2016,47090432,534.72,2022-11-08
Gerry,Walsh,AB786706C,Individual protection 2016,37455215,315.41,2022-11-01
Sigurd,Tillman,AB841131C,Fixed protection 2016,99864725,196.43,2022-11-07
Veda,Vandervort,AB557666C,Individual protection 2014,77730046,935.49,2022-11-07
Anabel,Schuster,AB279312C,Enhanced protection,95304342,818.46,2022-11-01
Felton,Kirlin,AB299948C,Enhanced lifetime allowance,15036218,827.73,2022-11-07
Prudence,Pollich,AB717430C,Fixed protection,28175963,871.58,2022-11-03
Yasmin,Beer,AB598982C,Fixed protection 2014,78181761,377.93,2022-11-08
Lon,Becker,AB388418C,Individual protection 2016,48772075,354.19,2022-11-02
Carmel,Stark,AB342257C,Fixed protection,58485075,598.33,2022-11-05
Brandon,Sauer,AB604876C,Enhanced protection,78187064,696.64,2022-11-05
Robin,Powlowski,AB242807C,Individual protection 2016,38392353,667.39,2022-11-01
Lawrence,Heaney,AB591072C,Enhanced protection,54273084,386.26,2022-11-03
Irma,Cartwright,AB759193C,Individual protection 2016,68311028,318.55,2022-11-05
Cooper,Herzog,AB178302C,Fixed protection 2014,16964347,185.68,2022-11-05
Esta,Koepp,AB610367C,Individual protection 2014,13385928,713.23,2022-11-03
Alysson,Kshlerin,AB533697C,Fixed protection,87769413,846.60,2022-11-02
Xander,Grady,AB521678C,Fixed protection,79088608,567.54,2022-11-02
Louisa,DuBuque,AB509950C,Enhanced protection,88111716,569.60,2022-11-04
Jamal,Nader,AB199235C,Fixed protection,25952254,311.50,2022-11-02
Jadon,Schinner,AB426853C,Fixed protection 2014,26435743,686.82,2022-11-06
Edmond,Ebert,AB648528C,Fixed protection 2016,60969595,871.33,2022-11-06
Tiffany,Macejkovic,AB694656C,Individual protection 2016,14157617,952.12,2022-11-05
Olin,Roberts,AB266112C,Individual protection 2014,73502481,852.82,2022-11-05
Danika,Balistreri,AB936591C,Individual protection 2016,25169179,94.54,2022-11-05
Lia,Mohr,AB898767C,Fixed protection,31061989,309.97,2022-11-04
Oma,Schowalter,AB212737C,Enhanced lifetime allowance,22198041,586.23,2022-11-06
Shad,Halvorson,AB632755C,Fixed protection 2016,75708379,49.41,2022-11-07
Roel,Donnelly,AB600624C,Individual protection 2014,47548285,821.89,2022-11-06
Alda,Welch,AB395220C,Individual protection 2016,39928699,623.32,2022-11-02
Pedro,Ullrich,AB734902C,Fixed protection,93553135,51.04,2022-11-06
Kaitlin,Stiedemann,AB129921C,Individual protection 2014,75550439,219.88,2022-11-01
Asa,Turner,AB861995C,Enhanced protection,58446878,135.32,2022-11-03
Shanelle,Lesch,AB846205C,Fixed protection 2016,69382397,97.30,2022-11-03
Mathew,Jakubowski,AB154380C,Fixed protection,31678570,421.11,2022-11-07
Marilou,Monahan,AB606230C,Enhanced lifetime allowance,90227293,997.13,2022-11-04
Andreane,Schaden,AB530336C,Enhanced protection,64040658,928.73,2022-11-01
Alek,Johns,AB121733C,Individual protection 2014,44227642,729.59,2022-11-02
Johnpaul,Hermann,AB653944C,Individual protection 2014,52244540,771.03,2022-11-05
Darryl,Quitzon,AB186890C,Individual protection 2014,11222921,112.56,2022-11-07
Lelia,Kozey,AB157676C,Individual protection 2014,68110504,638.52,2022-11-07
Devon,Murray,AB504334C,Enhanced protection,61076238,174.85,2022-11-05
Johan,Wunsch,AB456076C,Fixed protection 2016,58563472,120.68,2022-11-07
Maximilian,Homenick,AB201360C,Enhanced lifetime allowance,58195109,887.57,2022-11-02
Philip,Kulas,AB820926C,Individual protection 2016,65426616,620.62,2022-11-05
Kacey,Funk,AB152647C,Enhanced lifetime allowance,18404694,169.66,2022-11-08
Danielle,Upton,AB157209C,Individual protection 2014,93589285,399.17,2022-11-01
Leonard,Cassin,AB146414C,Fixed protection 2016,28889647,595.25,2022-11-01
Alfreda,Lakin,AB373475C,Individual protection 2014,47282386,800.71,2022-11-01
Darrin,Marks,AB552850C,Fixed protection 2014,77827851,113.93,2022-11-07
Jaylen,Becker,AB822992C,Individual protection 2016,62731592,173.92,2022-11-03
Danielle,Lindgren,AB717192C,Enhanced protection,19190338,557.10,2022-11-03
Zola,Emmerich,AB238147C,Fixed protection 2014,79657849,557.74,2022-11-07
April,Reynolds,AB463309C,Individual protection 2016,17154629,715.73,2022-11-08
Lucio,Kuhic,AB258459C,Enhanced lifetime allowance,92074588,952.20,2022-11-04
Lamont,Medhurst,AB664142C,Fixed protection 2016,45175256,10.77,2022-11-01
Makayla,Rice,AB817353C,Fixed protection 2016,63624579,95.90,2022-11-04
Shanny,Kris,AB615578C,Enhanced lifetime allowance,99242158,636.11,2022-11-06
Ansel,Gutkowski,AB754535C,Enhanced lifetime allowance,92932640,670.49,2022-11-06
Nicolas,Adams,AB385408C,Enhanced protection,28936933,813.57,2022-11-06
Dereck,Herzog,AB280801C,Enhanced lifetime allowance,57183976,94.14,2022-11-02
Santina,Upton,AB711225C,Individual protection 2014,14044683,615.44,2022-11-08
Marcelino,Bahringer,AB736067C,Fixed protection 2016,32828288,137.56,2022-11-01
Lysanne,Renner,AB212086C,Individual protection 2014,74118765,792.86,2022-11-04
Garnett,Collins,AB979291C,Enhanced protection,69972405,295.16,2022-11-02
Heath,Hagenes,AB732033C,Enhanced protection,85048076,766.37,2022-11-04
Ike,Crist,AB249338C,Fixed protection 2016,87442055,854.20,2022-11-01
Vickie,Schmeler,AB476264C,Fixed protection,54641516,424.86,2022-11-06
Jazmyn,Runte,AB468918C,Enhanced lifetime allowance,84355731,692.00,2022-11-02
Thea,Bartell,AB588640C,Fixed protection,60644116,280.54,2022-11-02
Terry,Beier,AB477634C,Enhanced lifetime allowance,62846683,843.79,2022-11-08
Jettie,Lehner,AB860865C,Enhanced lifetime allowance,63316604,131.22,2022-11-06
Isac,Hettinger,AB224585C,Individual protection 2016,45555343,465.63,2022-11-06
Ofelia,Breitenberg,AB391964C,Individual protection 2016,79089625,144.06,2022-11-08
Cristopher,Nicolas,AB726433C,Fixed protection 2016,81826017,229.06,2022-11-02
Colt,O'Reilly,AB847386C,Enhanced lifetime allowance,65345036,99.90,2022-11-08
Blaze,Hartmann,AB517807C,Fixed protection 2016,99781128,853.87,2022-11-07
Felicity,McDermott,AB161307C,Individual protection 2014,36542017,553.48,2022-11-04
Sophia,Kshlerin,AB904711C,Fixed protection 2014,50466489,257.08,2022-11-06
Wyatt,Wisoky,AB468811C,Enhanced protection,19576192,671.15,2022-11-04
Queenie,Murray,AB246436C,Enhanced protection,24567377,344.47,2022-11-06
Juvenal,Jaskolski,AB857918C,Individual protection 2014,53580860,728.26,2022-11-01
Brielle,Rippin,AB915823C,Individual protection 2016,95656341,870.19,2022-11-01
Adella,Herman,AB192997C,Individual protection 2014,60810207,172.42,2022-11-04
Newton,Johnson,AB299415C,Enhanced lifetime allowance,14147521,818.03,2022-11-06
Nels,Hermiston,AB292875C,Enhanced lifetime allowance,16754761,183.45,2022-11-05
Willy,Wisozk,AB982736C,Fixed protection,79762737,282.91,2022-11-03
Isidro,Vandervort,AB353144C,Fixed protection 2014,79289219,544.50,2022-11-04
Manley,Johns,AB570770C,Fixed protection 2016,74396364,238.49,2022-11-03
Shany,Zulauf,AB950615C,Fixed protection 2016,38724018,132.34,2022-11-01
Maudie,Marquardt,AB228821C,Enhanced lifetime allowance,75441001,650.46,2022-11-03
Katarina,Hahn,AB274048C,Enhanced protection,32567103,917.09,2022-11-08
Matt,Brown,AB946645C,Enhanced protection,96733310,789.70,2022-11-04
Vince,Schumm,AB989557C,Fixed protection,74493694,961.10,2022-11-01
Marilyne,Wunsch,AB533444C,Fixed protection 2016,29181725,87.57,2022-11-08
Ardith,Ankunding,AB119766C,Individual protection 2016,77149478,549.27,2022-11-07
Adriel,Gerhold,AB422374C,Fixed protection 2016,23364326,583.51,2022-11-08
Rickie,Torphy,AB785342C,Fixed protection 2016,99455306,444.24,2022-11-08
Niko,McGlynn,AB128859C,Fixed protection,62835504,895.16,2022-11-05
Eliza,Hansen,AB518355C,Fixed protection,57906140,286.00,2022-11-02
Dennis,Franecki,AB613897C,Individual protection 2014,78448107,246.04,2022-11-02
Roberto,Smith,AB360222C,Fixed protection,36509593,549.33,2022-11-08
Keegan,Mann,AB874249C,Fixed protection,59539206,925.17,2022-11-02
Ruthie,Denesik,AB557584C,Fixed protection,95151488,67.13,2022-11-02
Imelda,Yundt,AB144565C,Fixed protection 2016,39469328,773.14,2022-11-01
Nola,Ziemann,AB336650C,Enhanced lifetime allowance,56245833,725.34,2022-11-04
Rubie,Champlin,AB188918C,Enhanced lifetime allowance,21561285,137.51,2022-11-07
Michael,Stiedemann,AB446734C,Individual protection 2014,57707423,659.71,2022-11-04
Fay,Corkery,AB736099C,Fixed protection 2014,51943527,432.48,2022-11-02
Aditya,Bosco,AB776589C,Individual protection 2014,95387680,702.39,2022-11-08
Lazaro,Lemke,AB580975C,Enhanced lifetime allowance,11769447,788.14,2022-11-02
Triston,Erdman,AB339437C,Enhanced protection,21537742,836.28,2022-11-05
Marquise,Jones,AB251977C,Fixed protection 2016,91996968,824.66,2022-11-07
Robyn,Hermann,AB335703C,Individual protection 2016,73858265,800.11,2022-11-07
Amie,Gibson,AB571490C,Enhanced protection,66543679,155.39,2022-11-01
Erich,Treutel,AB838624C,Individual protection 2016,37655612,540.30,2022-11-05
Kitty,Dibbert,AB333008C,Fixed protection 2014,53881212,436.03,2022-11-06
Matteo,Bode,AB765473C,Fixed protection 2016,25936246,555.20,2022-11-03
Lucile,Osinski,AB725170C,Fixed protection 2016,89643605,792.00,2022-11-08
Beaulah,Jewess,AB900103C,Fixed protection 2016,21759942,726.56,2022-11-05
Brandyn,Olson,AB747736C,Individual protection 2016,23591084,98.38,2022-11-03
Zelda,Bogisich,AB852885C,Individual protection 2016,64659924,650.47,2022-11-02
Carole,Parisian,AB630688C,Fixed protection 2014,42776331,435.54,2022-11-06
Destinee,Batz,AB506966C,Individual protection 2014,63329049,268.01,2022-11-08
Joelle,Runolfsdottir,AB464285C,Enhanced protection,12158678,170.41,2022-11-07
Kacie,Heller,AB811173C,Individual protection 2016,84001298,976.14,2022-11-07
Russ,Bartell,AB538464C,Individual protection 2016,57654635,557.52,2022-11-07
Zula,D'Amore,AB703528C,Enhanced protection,93810613,378.36,2022-11-01
Ray,Sauer,AB330774C,Individual protection 2016,90422678,561.56,2022-11-04
Ryan,Lehner,AB914845C,Fixed protection,99554935,103.48,2022-11-02
Avery,Parker,AB745762C,Enhanced protection,47333387,102.96,2022-11-04
Janice,Erdman,AB450990C,Fixed protection,40135958,185.94,2022-11-02
Brenna,Tromp,AB982815C,Fixed protection 2016,42722546,542.64,2022-11-03
Timothy,Corkery,AB613556C,Individual protection 2016,98666590,604.96,2022-11-02
Mathew,Koss,AB775426C,Individual protection 2014,66204468,17.92,2022-11-04
Dameon,Treutel,AB372172C,Enhanced lifetime allowance,62915905,814.81,2022-11-05
Ivah,Williamson,AB861838C,Fixed protection 2016,42371177,315.79,2022-11-01
Yoshiko,Rosenbaum,AB765100C,Enhanced protection,42359438,709.18,2022-11-05
Rodolfo,Stroman,AB347454C,Fixed protection,80581914,638.36,2022-11-03
Talon,Waters,AB650182C,Individual protection 2016,85755481,29.85,2022-11-04
Antoinette,White,AB776780C,Individual protection 2016,14850155,784.29,2022-11-05
Malvina,Boyle,AB685717C,Enhanced lifetime allowance,35960716,416.38,2022-11-02
Jeffry,Gleichner,AB556471C,Fixed protection 2014,95317117,241.01,2022-11-07
Selina,Smith,AB345762C,Fixed protection,81467465,843.50,2022-11-01
Raymond,Weber,AB580657C,Fixed protection 2016,62786060,826.24,2022-11-05
Malinda,Kiehn,AB863039C,Enhanced lifetime allowance,78076803,249.43,2022-11-06
Juanita,Stracke,AB983218C,Individual protection 2016,55579146,399.39,2022-11-05
Alisha,Gottlieb,AB365448C,Fixed protection 2014,42029384,457.92,2022-11-04
Alyson,Ziemann,AB257793C,Enhanced protection,54974120,968.16,2022-11-06
Roger,Rogahn,AB130799C,Enhanced protection,69922015,65.54,2022-11-01
Jeffery,Lowe,AB681558C,Enhanced protection,30047164,387.15,2022-11-08
Berneice,Ankunding,AB338618C,Enhanced protection,82047703,448.01,2022-11-03
Marilyne,Satterfield,AB183153C,Individual protection 2016,32424164,847.04,2022-11-04
Davin,Borer,AB272537C,Individual protection 2014,87406286,720.01,2022-11-03
Hermann,Waelchi,AB193119C,Individual protection 2016,74853726,348.12,2022-11-04
Emely,Zieme,AB212104C,Individual protection 2014,55641350,628.65,2022-11-04
Beth,Pouros,AB315919C,Enhanced protection,47256915,222.40,2022-11-01
Ebba,Will,AB785092C,Fixed protection,11521802,443.77,2022-11-02
Billy,Walter,AB534987C,Fixed protection 2014,61170114,151.97,2022-11-06
Arden,Schaden,AB587292C,Enhanced protection,24679288,923.92,2022-11-03
Xzavier,Blick,AB240023C,Fixed protection 2016,40484413,369.46,2022-11-03
Kobe,Feeney,AB537180C,Enhanced lifetime allowance,61227300,395.33,2022-11-08
Khalil,Kuhn,AB389327C,Individual protection 2014,27026798,273.48,2022-11-04
Elenora,Carter,AB144294C,Individual protection 2016,22131653,975.44,2022-11-01
Emerald,Howell,AB248656C,Enhanced lifetime allowance,94682316,29.53,2022-11-05
Coby,Schmitt,AB944176C,Enhanced lifetime allowance,95854570,484.81,2022-11-02
Adell,Bashirian,AB696827C,Enhanced protection,58188595,851.31,2022-11-03
Fredy,Wisozk,AB584840C,Individual protection 2014,15666787,714.53,2022-11-07
Leta,Becker,AB232479C,Enhanced protection,28372057,22.90,2022-11-06
Gwendolyn,Jacobi,AB433102C,Enhanced protection,50902855,363.42,2022-11-07
Jeff,Wiza,AB417203C,Enhanced lifetime allowance,71569274,37.65,2022-11-02
Bella,Buckridge,AB816923C,Enhanced lifetime allowance,66968006,669.70,2022-11-06
Kennedi,Muller,AB847008C,Fixed protection,84250749,793.78,2022-11-04
Jules,Quigley,AB780298C,Enhanced lifetime allowance,48960304,914.17,2022-11-02
Amber,Dickinson,AB647829C,Enhanced protection,32157260,241.84,2022-11-08
Destiney,Thiel,AB322318C,Fixed protection,96757243,905.78,2022-11-02
Maryse,McClure,AB258043C,Individual protection 2016,81134790,251.99,2022-11-02
Missouri,Koepp,AB813578C,Fixed protection,48461442,488.94,2022-11-07
Loren,Reichel,AB598722C,Fixed protection,31874124,386.79,2022-11-03
Elwyn,Green,AB362000C,Individual protection 2014,28916562,783.16,2022-11-08
Clifton,Shields,AB927911C,Fixed protection 2014,96530844,376.70,2022-11-04
Eugene,Feil,AB628281C,Individual protection 2016,29602880,201.97,2022-11-04
Isac,Haag,AB722172C,Enhanced protection,33625575,517.05,2022-11-05
Arnaldo,Feest,AB890198C,Fixed protection 2014,37765435,983.09,2022-11-03
Bette,Mueller,AB723566C,Individual protection 2014,73956826,657.67,2022-11-05
Issac,Walter,AB149902C,Individual protection 2014,55417299,186.63,2022-11-08
Columbus,Funk,AB443052C,Fixed protection 2014,67269502,128.43,2022-11-04
Loma,Treutel,AB841134C,Fixed protection 2014,10155221,799.34,2022-11-01
Leonard,Nikolaus,AB273854C,Individual protection 2016,21865748,719.05,2022-11-02
Carolanne,Wiza,AB102120C,Fixed protection 2016,44690402,741.57,2022-11-01
Jaydon,Lind,AB450476C,Individual protection 2016,62795134,559.33,2022-11-05
Darryl,Batz,AB562253C,Individual protection 2014,10645108,17.58,2022-11-01
Hollis,Nikolaus,AB199160C,Individual protection 2016,53512082,369.62,2022-11-03
Maude,Predovic,AB999968C,Individual protection 2016,99883124,582.35,2022-11-06
Laurianne,Schuster,AB675417C,Individual protection 2016,82481435,165.35,2022-11-03
Nichole,Schoen,AB162911C,Individual protection 2014,59563340,798.85,2022-11-06
Robbie,Kub,AB934174C,Individual protection 2014,44038178,556.63,2022-11-04
Reva,Toy,AB351773C,Enhanced protection,60206510,125.85,2022-11-08
Darian,Becker,AB835230C,Fixed protection,23782080,975.04,2022-11-02
Frieda,Weimann,AB900967C,Individual protection 2014,57015804,140.54,2022-11-01
Vidal,Lubowitz,AB174585C,Fixed protection 2016,70765116,91.17,2022-11-02
Josefa,Gulgowski,AB665797C,Individual protection 2014,80231648,413.93,2022-11-01
Assunta,Schamberger,AB717863C,Individual protection 2014,29050109,768.35,2022-11-04
Justen,Ankunding,AB507594C,Fixed protection 2016,87662227,815.28,2022-11-07
Beth,Lynch,AB178020C,Individual protection 2014,22069558,950.92,2022-11-05
Eloy,Kuphal,AB574742C,Fixed protection,59955473,433.07,2022-11-02
Jocelyn,Conn,AB997250C,Fixed protection 2016,43166358,307.58,2022-11-02
Carey,Romaguera,AB171522C,Individual protection 2016,44708122,719.33,2022-11-01
