First name,Last name,National Insurance number,In which tax year was the annual allowance exceeded? (XXXX to XXXX),What is the total of the member's pension input amounts for all arrangements under the scheme in the tax year that the annual allowance was exceeded? (£)
Irma,Crist,AB564785C,2022 to 2023,568.23
Mathias,Pfannerstill,AB437585C,2022 to 2023,857.57
Berry,Gerlach,AB521002C,2022 to 2023,282.26
Frances,Kuhlman,AB395565C,2022 to 2023,862.44
Anissa,Nolan,AB456632C,2022 to 2023,820.67
Percival,Streich,AB981397C,2022 to 2023,849.10
Maud,Armstrong,AB322706C,2022 to 2023,709.12
Alexanne,Brakus,AB971240C,2022 to 2023,673.16
Desiree,Hoeger,AB211003C,2022 to 2023,869.00
Marjory,Bruen,AB205659C,2022 to 2023,207.00
Kamille,Kunze,AB695228C,2022 to 2023,888.55
Isai,Schimmel,AB635510C,2022 to 2023,383.47
Clemens,Labadie,AB577928C,2022 to 2023,570.34
Jazlyn,Ziemann,AB218141C,2022 to 2023,28.41
Rachelle,Grant,AB518188C,2022 to 2023,204.55
Keyshawn,Boyer,AB517431C,2022 to 2023,286.13
Arnoldo,Beer,AB169426C,2022 to 2023,723.80
Angelina,Bogisich,AB279681C,2022 to 2023,314.17
Cyrus,Labadie,AB110265C,2022 to 2023,705.65
Jimmie,Abernathy,AB890087C,2022 to 2023,174.22
Patience,Wiegand,AB100139C,2022 to 2023,857.20
Bailey,Bednar,AB503329C,2022 to 2023,421.45
Elias,Hirthe,AB674041C,2022 to 2023,437.36
Dolly,Fahey,AB942909C,2022 to 2023,990.94
Brice,Gerhold,AB901065C,2022 to 2023,712.39
Haven,Willms,AB615194C,2022 to 2023,374.04
Ada,Dickens,AB766090C,2022 to 2023,520.38
Julia,Morar,AB797049C,2022 to 2023,75.00
Claud,Bergstrom,AB808089C,2022 to 2023,523.74
Susanna,Bode,AB182082C,2022 to 2023,353.10
Retta,Pollich,AB500413C,2022 to 2023,644.58
Lennie,Schmidt,AB274928C,2022 to 2023,424.23
Gunnar,Considine,AB683717C,2022 to 2023,353.16
Broderick,Simonis,AB338708C,2022 to 2023,735.51
Mary,Sanford,AB371021C,2022 to 2023,918.27
Garnet,Ferry,AB169706C,2022 to 2023,789.06
Taya,Upton,AB917530C,2022 to 2023,734.70
Kody,Kling,AB663460C,2022 to 2023,376.57
Lavada,Beatty,AB825030C,2022 to 2023,689.98
Destiney,Rippin,AB192428C,2022 to 2023,971.72
Hubert,Gorczany,AB991536C,2022 to 2023,834.81
Iva,Frami,AB465338C,2022 to 2023,396.43
Eulalia,Stiedemann,AB881124C,2022 to 2023,541.69
Kiara,Grimes,AB438127C,2022 to 2023,305.23
Leone,Dare,AB144295C,2022 to 2023,419.17
Clovis,Thiel,AB635203C,2022 to 2023,21.19
Rupert,Eichmann,AB261567C,2022 to 2023,43.36
Raphael,Reilly,AB372574C,2022 to 2023,531.89
Madge,Wolf,AB307310C,2022 to 2023,596.48
Kristy,Koelpin,AB568910C,2022 to 2023,486.47
Elaina,Funk,AB565199C,2022 to 2023,172.92
Bobby,Cronin,AB682003C,2022 to 2023,140.87
Dolores,Tremblay,AB961598C,2022 to 2023,605.95
Bette,Abbott,AB294084C,2022 to 2023,842.21
Ena,Smith,AB859861C,2022 to 2023,263.60
Ruth,Parker,AB198494C,2022 to 2023,876.29
Tamia,Corkery,AB362346C,2022 to 2023,5.21
Willie,Kub,AB203444C,2022 to 2023,458.33
Raphaelle,Kozey,AB119402C,2022 to 2023,174.72
Vivianne,Schoen,AB962562C,2022 to 2023,815.65
Glennie,Lynch,AB910491C,2022 to 2023,657.78
Ricky,Douglas,AB441097C,2022 to 2023,290.43
Shyann,Beatty,AB528651C,2022 to 2023,98.71
Frances,Lehner,AB732285C,2022 to 2023,338.03
River,Botsford,AB398959C,2022 to 2023,9.66
Kennedi,Jerde,AB216207C,2022 to 2023,400.43
Armando,Orn,AB788180C,2022 to 2023,605.37
Sage,Lynch,AB712926C,2022 to 2023,33.69
Kenna,O'Conner,AB265772C,2022 to 2023,723.82
Arno,Willms,AB254482C,2022 to 2023,237.66
Gabrielle,Medhurst,AB115218C,2022 to 2023,547.63
Baron,Feeney,AB646816C,2022 to 2023,444.10
Josefina,Kertzmann,AB941891C,2022 to 2023,147.87
Caleb,Rippin,AB870633C,2022 to 2023,92.32
Gerardo,Cartwright,AB322356C,2022 to 2023,956.80
Frederik,Emard,AB204664C,2022 to 2023,830.19
Shawna,Prohaska,AB619265C,2022 to 2023,589.52
Golden,Fay,AB430004C,2022 to 2023,697.14
Everardo,Dooley,AB286234C,2022 to 2023,845.63
Penelope,Macejkovic,AB549087C,2022 to 2023,280.62
Edwin,Howe,AB770338C,2022 to 2023,234.50
Eusebio,Metz,AB947856C,2022 to 2023,463.86
Gerda,Murphy,AB421888C,2022 to 2023,984.41
Cordia,Feil,AB507003C,2022 to 2023,594.31
Karley,Senger,AB104071C,2022 to 2023,628.25
Mackenzie,Hayes,AB120447C,2022 to 2023,314.71
Dean,O'Kon,AB834340C,2022 to 2023,981.65
Lavinia,Abernathy,AB449796C,2022 to 2023,712.53
Ruben,Thompson,AB332902C,2022 to 2023,461.71
Monica,Russel,AB700593C,2022 to 2023,368.75
Archibald,Bosco,AB881548C,2022 to 2023,344.45
Eldred,Kassulke,AB556341C,2022 to 2023,342.22
Marlon,Orn,AB567003C,2022 to 2023,823.39
Cyril,Hand,AB989097C,2022 to 2023,270.06
Rocio,Moore,AB498267C,2022 to 2023,26.19
Mayra,Zemlak,AB185294C,2022 to 2023,729.67
Felix,Leannon,AB856269C,2022 to 2023,263.72
Violette,Kirlin,AB119473C,2022 to 2023,388.54
Karelle,Kautzer,AB684810C,2022 to 2023,858.28
Helena,Sawayn,AB602685C,2022 to 2023,385.40
Kara,Block,AB730982C,2022 to 2023,330.57
Dangelo,Davis,AB728376C,2022 to 2023,460.89
Brody,Wilkinson,AB163467C,2022 to 2023,362.59
Zula,Smith,AB481600C,2022 to 2023,729.73
Garland,Zieme,AB306767C,2022 to 2023,187.02
Ramona,Gottlieb,AB876633C,2022 to 2023,6.15
Ivy,Hamill,AB820271C,2022 to 2023,104.67
Olin,Hermiston,AB741169C,2022 to 2023,972.43
Ewald,Schiller,AB802756C,2022 to 2023,984.38
Justyn,Ratke,AB736090C,2022 to 2023,505.98
Alexandrea,Kirlin,AB820022C,2022 to 2023,901.18
Saul,Miller,AB779307C,2022 to 2023,980.65
Caesar,Prohaska,AB582869C,2022 to 2023,494.92
Hertha,Nitzsche,AB988261C,2022 to 2023,127.55
Alivia,Mayert,AB908060C,2022 to 2023,451.11
Gustave,Prosacco,AB585005C,2022 to 2023,397.19
Claud,Daniel,AB725466C,2022 to 2023,526.04
Bridget,Lakin,AB796413C,2022 to 2023,282.73
Jace,Runolfsson,AB992916C,2022 to 2023,912.03
Milan,Koss,AB325091C,2022 to 2023,937.83
Norma,Graham,AB751917C,2022 to 2023,616.47
Elyssa,Marvin,AB558986C,2022 to 2023,461.75
Genevieve,Lebsack,AB786838C,2022 to 2023,427.77
Marc,Kshlerin,AB160736C,2022 to 2023,521.43
Keshawn,Price,AB743248C,2022 to 2023,337.24
Morton,Sanford,AB574043C,2022 to 2023,641.61
Mckenzie,Spencer,AB684598C,2022 to 2023,705.01
Bailee,McKenzie,AB864511C,2022 to 2023,980.52
Sven,Heidenreich,AB293431C,2022 to 2023,758.76
Hattie,Howe,AB653449C,2022 to 2023,800.25
Ford,Blanda,AB161471C,2022 to 2023,751.00
Savion,Hills,AB471776C,2022 to 2023,520.38
Aryanna,Shanahan,AB762905C,2022 to 2023,160.54
Alf,Corwin,AB945958C,2022 to 2023,46.89
Garry,O'Kon,AB341948C,2022 to 2023,238.47
Owen,Gusikowski,AB786141C,2022 to 2023,803.75
Brooklyn,Homenick,AB180602C,2022 to 2023,533.05
Jannie,Luettgen,AB534343C,2022 to 2023,282.65
Hector,Wintheiser,AB529242C,2022 to 2023,229.74
Kelton,O'Kon,AB852424C,2022 to 2023,862.03
Davion,Block,AB198332C,2022 to 2023,208.71
Morton,Ortiz,AB188674C,2022 to 2023,379.28
Eusebio,Brekke,AB771758C,2022 to 2023,368.95
Isac,Hamill,AB616604C,2022 to 2023,47.62
Alicia,Hickle,AB907734C,2022 to 2023,789.66
Zane,McDermott,AB945961C,2022 to 2023,212.22
Ellsworth,Leffler,AB552482C,2022 to 2023,41.53
Rogelio,Langworth,AB264506C,2022 to 2023,170.09
Aylin,Padberg,AB326018C,2022 to 2023,737.63
Karina,Mante,AB612270C,2022 to 2023,70.41
Tamia,Stanton,AB315089C,2022 to 2023,46.40
Isabelle,Hodkiewicz,AB907597C,2022 to 2023,776.81
Gia,Kuhn,AB572070C,2022 to 2023,300.90
Blaze,Ward,AB218413C,2022 to 2023,939.23
Jon,McCullough,AB574240C,2022 to 2023,506.51
Roxane,Flatley,AB577729C,2022 to 2023,616.33
Jana,Metz,AB369998C,2022 to 2023,431.49
Theresia,Smitham,AB644938C,2022 to 2023,835.75
Jerel,Pfeffer,AB981069C,2022 to 2023,265.84
Maverick,Welch,AB934448C,2022 to 2023,899.16
Lilian,Beier,AB988850C,2022 to 2023,439.97
Jan,Kertzmann,AB511001C,2022 to 2023,683.92
Aimee,Dooley,AB955177C,2022 to 2023,706.83
Nella,Waters,AB970192C,2022 to 2023,679.27
Leta,Turner,AB504929C,2022 to 2023,315.74
Kellen,Prohaska,AB388235C,2022 to 2023,992.07
Adrienne,Hessel,AB794782C,2022 to 2023,80.11
Shany,Kautzer,AB321866C,2022 to 2023,631.92
Rafaela,Christiansen,AB350426C,2022 to 2023,192.02
Kavon,Kohler,AB609705C,2022 to 2023,305.29
Modesto,Schiller,AB938206C,2022 to 2023,191.61
Estelle,Runte,AB364470C,2022 to 2023,431.01
Isabella,Nicolas,AB572932C,2022 to 2023,354.09
Chadrick,Buckridge,AB760916C,2022 to 2023,534.36
Cayla,Buckridge,AB670737C,2022 to 2023,804.16
Colt,Sawayn,AB983057C,2022 to 2023,498.15
Mckayla,Harber,AB668336C,2022 to 2023,645.40
Lela,Toy,AB342996C,2022 to 2023,948.83
Sydney,McCullough,AB745539C,2022 to 2023,184.39
Ahmed,Rutherford,AB696458C,2022 to 2023,671.22
Teresa,Denesik,AB736986C,2022 to 2023,60.79
Erin,Lang,AB831980C,2022 to 2023,937.02
Lorena,Littel,AB309212C,2022 to 2023,924.44
Christ,McClure,AB480470C,2022 to 2023,829.78
Tracy,Becker,AB247250C,2022 to 2023,47.98
Koby,Thompson,AB276261C,2022 to 2023,343.43
Garnet,Wintheiser,AB997718C,2022 to 2023,667.39
Assunta,Carroll,AB117239C,2022 to 2023,472.46
Romaine,Nikolaus,AB575877C,2022 to 2023,484.60
Jules,Shanahan,AB633961C,2022 to 2023,257.59
Titus,Hartmann,AB314573C,2022 to 2023,481.51
Virgil,Wiza,AB115225C,2022 to 2023,103.64
Julien,Kemmer,AB237027C,2022 to 2023,949.67
Joey,Sanford,AB200018C,2022 to 2023,402.40
Rubie,Mann,AB442392C,2022 to 2023,113.35
Lindsey,Swift,AB751705C,2022 to 2023,475.87
Kayley,Mosciski,AB749450C,2022 to 2023,833.82
Charity,Dach,AB755366C,2022 to 2023,969.84
Sharon,Goyette,AB296192C,2022 to 2023,541.56
Taylor,Roberts,AB602394C,2022 to 2023,49.36
Camille,Cremin,AB198410C,2022 to 2023,743.88
Margarete,Wehner,AB680858C,2022 to 2023,287.97
Carson,Brekke,AB584891C,2022 to 2023,604.38
Elmer,Trantow,AB355037C,2022 to 2023,589.47
Jett,Jenkins,AB210009C,2022 to 2023,819.44
Rodger,Towne,AB653396C,2022 to 2023,83.77
Kory,Wisoky,AB713610C,2022 to 2023,808.85
Brandyn,Weissnat,AB966617C,2022 to 2023,32.28
Jessika,Rolfson,AB483187C,2022 to 2023,392.81
Jarrod,Runolfsdottir,AB878558C,2022 to 2023,887.68
Dusty,Schuster,AB894097C,2022 to 2023,293.74
Magdalen,Emmerich,AB736263C,2022 to 2023,193.51
Elmer,Abernathy,AB768174C,2022 to 2023,511.52
Kira,Jast,AB765761C,2022 to 2023,223.67
Laurine,Goodwin,AB350250C,2022 to 2023,64.16
Jett,Effertz,AB406447C,2022 to 2023,12.29
Jacquelyn,Stracke,AB995578C,2022 to 2023,712.73
Shany,Dickens,AB311683C,2022 to 2023,900.66
Conrad,Kshlerin,AB954220C,2022 to 2023,434.37
Georgianna,Hermiston,AB285193C,2022 to 2023,387.36
Marina,Lemke,AB870636C,2022 to 2023,656.76
Chester,Johnston,AB190027C,2022 to 2023,872.37
America,Pfeffer,AB581200C,2022 to 2023,505.18
Caterina,Rau,AB971481C,2022 to 2023,200.24
Chasity,Walsh,AB547830C,2022 to 2023,886.10
Golden,Reynolds,AB502664C,2022 to 2023,914.31
Ada,Stanton,AB660021C,2022 to 2023,230.14
Stanton,Borer,AB434551C,2022 to 2023,691.88
Lafayette,Bosco,AB908183C,2022 to 2023,861.63
Deondre,Greenfelder,AB652353C,2022 to 2023,701.14
Karlee,Stark,AB743988C,2022 to 2023,279.10
Carli,Ward,AB570841C,2022 to 2023,246.28
Anibal,O'Keefe,AB649825C,2022 to 2023,442.04
Novella,Senger,AB969775C,2022 to 2023,875.54
Asa,Grimes,AB949814C,2022 to 2023,723.21
Kale,Cormier,AB407938C,2022 to 2023,500.23
Arely,Durgan,AB318791C,2022 to 2023,821.98
Cathy,Block,AB534180C,2022 to 2023,75.37
Ronny,Upton,AB524490C,2022 to 2023,273.90
Jedidiah,Gulgowski,AB991796C,2022 to 2023,203.25
Timothy,Abernathy,AB491974C,2022 to 2023,19.82
Brice,Zieme,AB244000C,2022 to 2023,846.57
Weldon,Hintz,AB466644C,2022 to 2023,698.73
Royce,Bashirian,AB499646C,2022 to 2023,698.90
Kyleigh,Cronin,AB249275C,2022 to 2023,977.57
Marquise,Ward,AB370228C,2022 to 2023,40.21
Adolph,Fadel,AB999985C,2022 to 2023,679.82
Lennie,Sanford,AB208133C,2022 to 2023,612.57
Lia,Prosacco,AB508403C,2022 to 2023,649.10
Aubree,Shields,AB468874C,2022 to 2023,579.82
Nico,Swaniawski,AB332206C,2022 to 2023,797.76
Lonnie,Rempel,AB110974C,2022 to 2023,416.44
Stephanie,Zieme,AB540692C,2022 to 2023,967.79
Abigayle,Hane,AB690397C,2022 to 2023,762.78
Melyssa,Kihn,AB278786C,2022 to 2023,817.75
Destiney,Steuber,AB916116C,2022 to 2023,945.60
Brenna,Kutch,AB824989C,2022 to 2023,244.33
Allan,Lindgren,AB813427C,2022 to 2023,410.81
Dino,Bradtke,AB865134C,2022 to 2023,787.73
Santos,Beer,AB337415C,2022 to 2023,142.43
Cora,Cronin,AB846321C,2022 to 2023,552.89
Christelle,Hintz,AB759359C,2022 to 2023,891.61
Julien,Herzog,AB637617C,2022 to 2023,732.02
Terence,Corkery,AB845700C,2022 to 2023,228.94
Oceane,Bogan,AB114819C,2022 to 2023,375.29
Lexie,Kris,AB188197C,2022 to 2023,85.51
Jett,Purdy,AB498396C,2022 to 2023,529.87
Jules,Beer,AB364011C,2022 to 2023,739.29
Destiny,O'Kon,AB858524C,2022 to 2023,252.80
Amari,Howell,AB129974C,2022 to 2023,583.25
Frances,Pfannerstill,AB365183C,2022 to 2023,252.91
Bradford,Roob,AB310907C,2022 to 2023,14.95
Keyon,Kunde,AB364989C,2022 to 2023,34.34
Sasha,Parker,AB727742C,2022 to 2023,637.30
Jaime,Lebsack,AB367678C,2022 to 2023,276.35
Bobbie,Emard,AB773830C,2022 to 2023,674.32
Elise,Cruickshank,AB651841C,2022 to 2023,56.06
Pauline,Corkery,AB190305C,2022 to 2023,876.12
Willa,Murphy,AB323767C,2022 to 2023,282.06
Lacey,Klein,AB109454C,2022 to 2023,614.57
Fabian,Sipes,AB273141C,2022 to 2023,979.17
Ashlynn,Schmeler,AB293028C,2022 to 2023,880.63
Ned,Stroman,AB928280C,2022 to 2023,951.12
Madisen,Nolan,AB980257C,2022 to 2023,833.72
Angelita,Larson,AB569950C,2022 to 2023,775.07
Jovani,King,AB718119C,2022 to 2023,271.81
Tyson,VonRueden,AB122812C,2022 to 2023,861.79
Luisa,Yost,AB718483C,2022 to 2023,741.79
Enola,Prohaska,AB873502C,2022 to 2023,735.52
Rogelio,Herman,AB535885C,2022 to 2023,698.16
Elvis,Cummerata,AB924241C,2022 to 2023,915.19
Nathen,Rippin,AB984900C,2022 to 2023,603.70
Cydney,Hessel,AB858002C,2022 to 2023,635.54
Quinton,Goldner,AB190734C,2022 to 2023,991.98
Sharon,Wolf,AB150291C,2022 to 2023,626.02
Moriah,Gleichner,AB103029C,2022 to 2023,166.38
Grady,Kub,AB817076C,2022 to 2023,422.36
Parker,Heaney,AB360162C,2022 to 2023,61.91
Jacynthe,Jacobi,AB264165C,2022 to 2023,851.15
Broderick,Kub,AB304234C,2022 to 2023,188.64
Newton,Nienow,AB299983C,2022 to 2023,140.88
Moises,McLaughlin,AB477029C,2022 to 2023,341.47
Zelma,Haley,AB636550C,2022 to 2023,350.29
Mac,Stanton,AB844722C,2022 to 2023,416.37
Shad,Gerlach,AB759796C,2022 to 2023,551.61
Lilyan,Wisozk,AB622654C,2022 to 2023,925.54
Earline,Leannon,AB202131C,2022 to 2023,6.70
Emmie,Schmeler,AB848969C,2022 to 2023,544.03
Laurine,Muller,AB289229C,2022 to 2023,492.91
Louie,Kutch,AB996647C,2022 to 2023,579.39
Joel,Windler,AB655464C,2022 to 2023,195.02
Antonio,Dach,AB400101C,2022 to 2023,367.78
Rod,Lesch,AB942945C,2022 to 2023,422.56
Stewart,Gusikowski,AB334713C,2022 to 2023,633.51
Eleonore,Reilly,AB677898C,2022 to 2023,738.75
Kristofer,Rempel,AB476681C,2022 to 2023,755.48
Alexzander,Rempel,AB744011C,2022 to 2023,203.80
Jeramy,Pollich,AB149485C,2022 to 2023,320.11
Mohammed,Osinski,AB646039C,2022 to 2023,47.21
Edyth,Medhurst,AB988830C,2022 to 2023,716.44
Noelia,Mante,AB420106C,2022 to 2023,521.75
Virginie,Crist,AB244151C,2022 to 2023,103.26
Emerald,Rau,AB366072C,2022 to 2023,662.50
Zella,Heaney,AB384204C,2022 to 2023,750.06
Kattie,Crona,AB753649C,2022 to 2023,922.78
Craig,Hermann,AB312943C,2022 to 2023,138.68
Marco,Collins,AB107802C,2022 to 2023,718.47
Virgil,Blanda,AB719111C,2022 to 2023,852.12
Hollie,Kirlin,AB308858C,2022 to 2023,261.90
Sage,Crooks,AB109852C,2022 to 2023,451.80
Icie,Goldner,AB289718C,2022 to 2023,297.26
Jabari,Pagac,AB533601C,2022 to 2023,941.57
Irwin,White,AB954130C,2022 to 2023,292.68
Althea,Wolf,AB983095C,2022 to 2023,906.65
Monique,Schmidt,AB928867C,2022 to 2023,200.42
Jordy,Aufderhar,AB628669C,2022 to 2023,307.28
Fannie,Rodriguez,AB239984C,2022 to 2023,190.80
Darrell,Stroman,AB472229C,2022 to 2023,359.31
Kurtis,Wehner,AB732913C,2022 to 2023,324.12
Jamie,Funk,AB939844C,2022 to 2023,821.89
Johnson,Kohler,AB641000C,2022 to 2023,12.65
Raina,Gottlieb,AB793657C,2022 to 2023,501.43
Haleigh,Brown,AB391228C,2022 to 2023,635.41
Orie,Emard,AB800265C,2022 to 2023,261.15
Trycia,Welch,AB438045C,2022 to 2023,949.79
Jamel,Oberbrunner,AB516553C,2022 to 2023,839.77
Madelynn,Crist,AB634907C,2022 to 2023,743.57
Blake,Graham,AB718917C,2022 to 2023,953.60
Isac,Crona,AB455717C,2022 to 2023,905.97
Brigitte,McClure,AB129129C,2022 to 2023,289.68
Katelynn,Emard,AB500034C,2022 to 2023,260.59
Dejon,Bogisich,AB852805C,2022 to 2023,850.39
Christina,Gleichner,AB810921C,2022 to 2023,464.93
Arturo,Collier,AB209173C,2022 to 2023,31.53
Stanton,Lemke,AB227442C,2022 to 2023,867.63
Lauretta,Ullrich,AB667103C,2022 to 2023,415.77
Johnnie,Feil,AB107417C,2022 to 2023,491.14
Sid,Gislason,AB196089C,2022 to 2023,897.20
Orlando,Konopelski,AB858494C,2022 to 2023,389.10
Perry,Corwin,AB281969C,2022 to 2023,717.66
Kailee,Walker,AB769818C,2022 to 2023,896.82
Lelah,Pouros,AB509554C,2022 to 2023,762.21
Jessyca,Kiehn,AB386877C,2022 to 2023,269.97
Jammie,Haag,AB474537C,2022 to 2023,310.40
Richie,Christiansen,AB641706C,2022 to 2023,309.96
Leanne,McCullough,AB449674C,2022 to 2023,785.96
Colin,Miller,AB115323C,2022 to 2023,432.13
Jairo,Dietrich,AB831670C,2022 to 2023,887.76
Amy,Smitham,AB243189C,2022 to 2023,750.60
Antoinette,Padberg,AB121549C,2022 to 2023,106.45
Anika,Kozey,AB114910C,2022 to 2023,683.10
Golden,Watsica,AB491309C,2022 to 2023,173.94
Brian,Bernier,AB499147C,2022 to 2023,634.11
Roosevelt,Vandervort,AB624848C,2022 to 2023,68.60
Kelvin,Marquardt,AB135843C,2022 to 2023,151.85
Torey,Corkery,AB256765C,2022 to 2023,737.02
Hillard,Ankunding,AB610873C,2022 to 2023,688.17
Candida,Turcotte,AB365976C,2022 to 2023,563.67
Emmet,Blanda,AB310002C,2022 to 2023,816.77
Clint,Dicki,AB145531C,2022 to 2023,23.78
Bessie,Conroy,AB821084C,2022 to 2023,548.79
Celestino,Schulist,AB752488C,2022 to 2023,557.31
Jaida,Kerluke,AB792137C,2022 to 2023,978.95
Johnathan,Feeney,AB659138C,2022 to 2023,823.38
Abdullah,Baumbach,AB310174C,2022 to 2023,273.99
Selena,Wilderman,AB781461C,2022 to 2023,877.19
Jerome,Kertzmann,AB896733C,2022 to 2023,483.89
Lucious,Kunze,AB425914C,2022 to 2023,841.04
Ryder,Yundt,AB979136C,2022 to 2023,660.92
Otto,Nitzsche,AB727790C,2022 to 2023,134.13
Boyd,Leffler,AB662633C,2022 to 2023,461.17
Alverta,Runolfsson,AB914584C,2022 to 2023,103.13
Dexter,Koelpin,AB344017C,2022 to 2023,657.27
Jessie,Bednar,AB568553C,2022 to 2023,576.28
Rossie,Moen,AB893870C,2022 to 2023,868.11
Chris,Rippin,AB459892C,2022 to 2023,818.24
Retta,Watsica,AB272304C,2022 to 2023,526.27
Davon,Paucek,AB708137C,2022 to 2023,645.15
Marques,Sauer,AB815626C,2022 to 2023,428.07
Raoul,Langworth,AB220717C,2022 to 2023,223.52
Beau,Prohaska,AB608867C,2022 to 2023,970.79
Zack,Sanford,AB230177C,2022 to 2023,499.27
Cristian,Gutmann,AB403631C,2022 to 2023,3.88
Rhoda,Casper,AB681611C,2022 to 2023,21.76
Lina,Daniel,AB639628C,2022 to 2023,100.99
Maximo,Carroll,AB975836C,2022 to 2023,294.43
Lavada,Jacobi,AB614737C,2022 to 2023,330.51
Agustin,Conroy,AB208550C,2022 to 2023,186.03
Candida,Feest,AB506080C,2022 to 2023,935.58
Orlando,Runolfsson,AB856390C,2022 to 2023,948.23
Laury,Abbott,AB410427C,2022 to 2023,739.39
Jett,Hickle,AB572874C,2022 to 2023,412.73
Myrtie,West,AB264601C,2022 to 2023,191.87
Eliane,Conroy,AB482483C,2022 to 2023,979.16
Soledad,Beer,AB958349C,2022 to 2023,124.48
Ebba,Lakin,AB443146C,2022 to 2023,121.05
Clemmie,Vandervort,AB683659C,2022 to 2023,343.22
Yasmeen,Hackett,AB994903C,2022 to 2023,626.51
Kyle,Powlowski,AB258027C,2022 to 2023,669.91
Reina,Anderson,AB762965C,2022 to 2023,718.43
Nicolette,Tromp,AB523893C,2022 to 2023,79.01
Cordelia,Schinner,AB189541C,2022 to 2023,908.49
Orion,Cole,AB780938C,2022 to 2023,578.43
Tessie,Bradtke,AB365667C,2022 to 2023,507.71
Lia,Ritchie,AB356594C,2022 to 2023,565.90
Madelyn,Dare,AB996275C,2022 to 2023,448.88
Reynold,Gutmann,AB876560C,2022 to 2023,384.89
Katlynn,Reichert,AB876990C,2022 to 2023,686.48
Vincenzo,Beahan,AB918138C,2022 to 2023,108.10
Humberto,Leffler,AB800676C,2022 to 2023,823.42
Fermin,Konopelski,AB825786C,2022 to 2023,444.17
Chanelle,Tillman,AB911979C,2022 to 2023,465.91
Geo,Johnson,AB329325C,2022 to 2023,320.71
Derek,Nitzsche,AB770982C,2022 to 2023,506.61
Johann,Schiller,AB346106C,2022 to 2023,179.61
Earlene,Miller,AB620636C,2022 to 2023,413.81
Lily,Koss,AB541111C,2022 to 2023,400.20
Lilian,Gusikowski,AB238181C,2022 to 2023,131.55
Samantha,Rippin,AB386132C,2022 to 2023,332.15
Jasmin,Altenwerth,AB394088C,2022 to 2023,434.99
Kaden,Windler,AB279004C,2022 to 2023,532.92
Terrill,Turcotte,AB816909C,2022 to 2023,75.54
Ted,Effertz,AB926394C,2022 to 2023,14.84
Evalyn,Kessler,AB362371C,2022 to 2023,352.83
Anissa,O'Keefe,AB381598C,2022 to 2023,656.52
Wilfrid,O'Reilly,AB973354C,2022 to 2023,365.93
Holden,Gulgowski,AB767335C,2022 to 2023,629.74
Leon,Eichmann,AB597121C,2022 to 2023,476.39
Zella,Bins,AB326905C,2022 to 2023,16.72
Rosanna,Tillman,AB827903C,2022 to 2023,386.04
Earnest,McGlynn,AB782138C,2022 to 2023,75.88
Ellie,Schuster,AB554502C,2022 to 2023,734.18
Lyla,Hilll,AB958536C,2022 to 2023,909.40
Brenna,Streich,AB478769C,2022 to 2023,734.10
Garett,Marvin,AB354553C,2022 to 2023,355.06
Lavern,Thompson,AB160347C,2022 to 2023,234.08
Alice,Koepp,AB505631C,2022 to 2023,385.87
Ana,Kunde,AB387286C,2022 to 2023,662.71
Marquis,Dickens,AB922821C,2022 to 2023,589.89
Regan,Barton,AB829343C,2022 to 2023,425.67
Viola,Hammes,AB161710C,2022 to 2023,105.20
Ayana,Rice,AB146409C,2022 to 2023,808.78
Viva,Walker,AB109720C,2022 to 2023,178.42
Alayna,Ratke,AB641446C,2022 to 2023,998.35
Orrin,Nienow,AB150485C,2022 to 2023,335.86
Denis,Beer,AB610830C,2022 to 2023,815.83
Isaias,VonRueden,AB688376C,2022 to 2023,367.42
Friedrich,Conroy,AB926387C,2022 to 2023,465.23
Amos,Weimann,AB150452C,2022 to 2023,846.31
Ewald,Beatty,AB463683C,2022 to 2023,344.66
Shaun,Rosenbaum,AB879747C,2022 to 2023,604.59
Cristal,Pagac,AB169439C,2022 to 2023,836.91
Virgie,Zieme,AB378085C,2022 to 2023,877.86
Luis,Prohaska,AB351088C,2022 to 2023,221.17
Camila,Rice,AB730717C,2022 to 2023,56.40
Ian,Von,AB314413C,2022 to 2023,433.71
Geraldine,Goyette,AB598149C,2022 to 2023,339.59
Chet,Jacobi,AB852691C,2022 to 2023,236.37
Tabitha,Olson,AB737002C,2022 to 2023,550.87
Felix,Miller,AB945949C,2022 to 2023,131.10
Annabelle,Larson,AB270666C,2022 to 2023,457.98
Rey,Armstrong,AB258795C,2022 to 2023,982.66
Emmanuel,Davis,AB558679C,2022 to 2023,248.22
Vella,Feil,AB318851C,2022 to 2023,535.87
Jailyn,Durgan,AB274954C,2022 to 2023,942.39
Frank,Waelchi,AB444136C,2022 to 2023,448.21
Xzavier,Kunde,AB606571C,2022 to 2023,89.34
Mathias,Murphy,AB495184C,2022 to 2023,566.51
Mavis,Boehm,AB995370C,2022 to 2023,92.90
Myrna,Nitzsche,AB878665C,2022 to 2023,638.99
Efrain,Hudson,AB237816C,2022 to 2023,497.62
Cynthia,Kovacek,AB613362C,2022 to 2023,758.50
Lottie,Miller,AB735517C,2022 to 2023,518.43
Bria,Hodkiewicz,AB656824C,2022 to 2023,998.70
Ilene,Wilkinson,AB969563C,2022 to 2023,907.90
Benny,Miller,AB828154C,2022 to 2023,209.43
